abdicate,v. 退位、放弃
swamp,v. 淹没，（使）陷入困境；n. 沼泽
swing,v./n. 摇摆、波动
switch,v. 转移、转换；n. 开关
symbolic,adj. 象征的、符号的
sympathy,n. 同情
temper,v. 调和、控制；n. 脾气、性情
temporary,adj. 暂时的、临时的
tempt,v. 引诱、诱使、吸引
tendency,n. 趋势、倾向
terminal,adj. 终点的，（疾病）晚期的；n. 终点、终端（机）
terrify,v. 恐吓、使害怕
testify,v. 证实、作证
thorny,adj. 棘手的、麻烦的
threaten,v. 威胁
thrive,v. 繁荣、盛行
tissue,n. （动植物的）组织
tolerate,v. 容忍、忍受
tough,adj. 强硬的、严苛的
toxic,adj. 有毒的、不良的
transaction,n. 交易
transcendence,n. 超越
transfer,v./n. 传递、转移
transform,v. 改变、转变
transition,n. 转型、过渡
transparency,n. 透明（度）
transplant,v./n. 移植
transportation,n. 运输、交通工具
tremendous,adj. 巨大的
triumph,v./n. 成功，胜利
turbulent,adj. 混乱的、湍急的
ultimate,adj. 最终的、根本的、极限的
unanimous,adj. 全体同意的、一致通过的
undermine,v. 破坏
uniform,adj. 统一的、相同的；n. 制服
unique,adj. 独特的、唯一的
unite,v. 联合、团结、统一
universal,adj. 普通的、通用的
unsurpassed,adj. 难以超越的、无与伦比的
upset,v. 打乱、使心烦（生气）
urban,adj. 城市的
urge,v. 推动、驱使；n. 欲望、要求
utility,n. 功用、效用
vacuum,v.（用真空吸尘器）清扫、吸入；n. 真空
vague,adj. 模糊的、含糊的
vain,adj. 自负的
valid,adj. 有效的，正当的
vanish,v. 消失
vanity,n. 虚荣
various,adj. 各种各样的
verbal,adj. 口头的、语言的、文字的
verdict,n. 结论、判决
verify,v. 证实、核实
viable,adj. 可行的
vibrant,adj. 充满活力的
victory,n. 胜利
vigorously,adv. 精力充沛地、强烈地
violate,v. 违反、侵犯
virtually,adv. 几乎、事实上
visible,adj. 看得见的、明显的
vision,n. 视力、憧憬
visualize,v. 想像（使）形象化
vital,adj. 至关重要的、生死攸关的
vivid,adj. 生动的、逼真的
vocation,n. 职业
withdraw,v. 撤销、收回
withstand,v. 承受
worship,v./n. 敬奉、崇拜
yield,v. 生产、产生；n. 产量、收益
zone,n. 地区
